dataset,method,seed,split_type,sample_count,artifact_path,accuracy,precision,recall,f1,auc,status,reason
Quo Vadis,api_frequency_lr,17,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json,0.9005025125628141,0.8855721393034826,0.7007874015748031,0.7824175824175824,0.9066461580966347,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,api_frequency_lr,27,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json,0.9005025125628141,0.8855721393034826,0.7007874015748031,0.7824175824175824,0.9066461580966347,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,api_frequency_lr,7,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,0.9005025125628141,0.8855721393034826,0.7007874015748031,0.7824175824175824,0.9066461580966347,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,api_frequency_rf,17,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_17/metrics.json,0.9095477386934674,0.8416666666666667,0.7952755905511811,0.8178137651821862,0.9486276260001913,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,api_frequency_rf,27,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_27/metrics.json,0.9095477386934674,0.8388429752066116,0.7992125984251969,0.8185483870967742,0.9489676644670427,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,api_frequency_rf,7,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_7/metrics.json,0.914572864321608,0.8565400843881856,0.7992125984251969,0.8268839103869654,0.9484177585089313,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,api_frequency_xgboost,7/17/27,leakage-safe required,6636,"",,,,,,pending,xgboost installed but missing libomp runtime on this machine
Quo Vadis,api_ngram_lr,17,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/api_ngram_lr/seed_17/metrics.json,0.9045226130653267,0.8767772511848341,0.7283464566929134,0.7956989247311828,0.9370477222735822,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,api_ngram_lr,27,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/api_ngram_lr/seed_27/metrics.json,0.9045226130653267,0.8767772511848341,0.7283464566929134,0.7956989247311828,0.9370477222735822,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,api_ngram_lr,7,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/api_ngram_lr/seed_7/metrics.json,0.9045226130653267,0.8767772511848341,0.7283464566929134,0.7956989247311828,0.9370477222735822,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,api_ngram_svm,17,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/api_ngram_svm/seed_17/metrics.json,0.9105527638190954,0.8313253012048193,0.8149606299212598,0.8230616302186878,0.9558932916786211,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,api_ngram_svm,27,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/api_ngram_svm/seed_27/metrics.json,0.9105527638190954,0.8313253012048193,0.8149606299212598,0.8230616302186878,0.9558932916786211,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,api_ngram_svm,7,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/api_ngram_svm/seed_7/metrics.json,0.9105527638190954,0.8313253012048193,0.8149606299212598,0.8230616302186878,0.9558932916786211,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,api_ngram_xgboost,7/17/27,leakage-safe required,6636,"",,,,,,pending,xgboost installed but missing libomp runtime on this machine
Quo Vadis,apili_adapted,7,preliminary binary-stratified,50000,datasets_50k/quo_vadis/results/apili_adapted_metrics.json,0.9386666666666666,0.9370350690754516,0.9405333333333333,0.9387809422411498,0.9869437511111111,diagnostic,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
Quo Vadis,apili_adapted,7/17/27,leakage-safe required,6636,"",,,,,,pending,no complete leakage-safe three-seed artifact found
Quo Vadis,dawngnn_reimpl,7,preliminary binary-stratified,50000,datasets_50k/quo_vadis/results/dawngnn_reimpl_metrics.json,0.8741333333333333,0.8408649173955296,0.9229333333333334,0.8799898296465802,0.9458021333333334,diagnostic,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
Quo Vadis,dawngnn_reimpl,7/17/27,leakage-safe required,6636,"",,,,,,pending,no complete leakage-safe three-seed artifact found
Quo Vadis,deepcapa_adapted,7,preliminary binary-stratified,50000,datasets_50k/quo_vadis/results/deepcapa_adapted_metrics.json,0.9649333333333333,0.9693135935397039,0.9602666666666667,0.9647689216342934,0.9952529422222223,diagnostic,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
Quo Vadis,deepcapa_adapted,7/17/27,leakage-safe required,6636,"",,,,,,pending,no complete leakage-safe three-seed artifact found
Quo Vadis,gat,17,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/graph_baselines/gat/seed_17/metrics.json,0.8974874371859296,0.8518518518518519,0.7244094488188977,0.7829787234042553,0.9344602420648837,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,gat,27,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/graph_baselines/gat/seed_27/metrics.json,0.9035175879396985,0.8872549019607843,0.7125984251968503,0.7903930131004366,0.9467733537356414,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,gat,7,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/graph_baselines/gat/seed_7/metrics.json,0.892462311557789,0.8266666666666667,0.7322834645669292,0.7766179540709812,0.9369680257579139,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,gpt4_api_bert_cnn,7,preliminary binary-stratified,50000,datasets_50k/quo_vadis/results/gpt4_api_bert_cnn_metrics.json,0.9552,0.9723298284449363,0.9370666666666667,0.9543726235741445,0.9926256711111111,check,preliminary 50k binary-stratified split and detection threshold provenance absent; suspiciously high for confirmatory use
Quo Vadis,gpt4_api_bert_cnn,7/17/27,leakage-safe required,6636,"",,,,,,pending,no complete leakage-safe three-seed artifact found
Quo Vadis,gru,17,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/gru/seed_17/metrics.json,0.8793969849246231,0.8018018018018018,0.7007874015748031,0.7478991596638656,0.896187318690427,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,gru,27,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/gru/seed_27/metrics.json,0.8864321608040201,0.8652849740932642,0.65748031496063,0.7472035794183445,0.895193768795095,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,gru,7,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/gru/seed_7/metrics.json,0.8894472361809045,0.8913043478260869,0.6456692913385826,0.7488584474885844,0.9013463398046905,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,lstm,17,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/lstm/seed_17/metrics.json,0.8442211055276382,0.6987951807228916,0.6850393700787402,0.6918489065606361,0.8678047329104104,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,lstm,27,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/lstm/seed_27/metrics.json,0.8884422110552764,0.8864864864864865,0.6456692913385826,0.7471526195899773,0.9063565940897064,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,lstm,7,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/lstm/seed_7/metrics.json,0.8723618090452261,0.8670520231213873,0.5905511811023622,0.702576112412178,0.8871762993188606,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,mme_fallback,7/17/27,leakage-safe required,6636,"",,,,,,pending,no complete leakage-safe three-seed artifact found
Quo Vadis,mme_textcnn_fallback,7,preliminary binary-stratified,50000,datasets_50k/quo_vadis/results/mme_metrics.json,0.938,0.9251876779704893,0.9530666666666666,0.9389202679626953,0.9890301866666666,diagnostic,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
Quo Vadis,nebula,7,preliminary binary-stratified,50000,datasets_50k/quo_vadis/results/nebula_metrics.json,0.9113333333333333,0.8915968519928916,0.9365333333333333,0.9135128105085186,0.9707951644444445,diagnostic,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
Quo Vadis,nebula,7,leakage-safe report-group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/nebula/leakage_safe/seed_7/metrics.json,0.8653266331658291,0.7654867256637168,0.6811023622047244,0.7208333333333333,0.8943277333248324,usable_single_seed_pending_more_seeds,data checksum matches leakage-safe manifest; validation-selected threshold 0.99; prediction counts match 994-record validation and 995-record test splits; config and prediction artifacts present
Quo Vadis,nebula,17/27,leakage-safe required,6636,"",,,,,,pending,seed 7 usable; seeds 17 and 27 required before aggregation into Table VII
Quo Vadis,ours,7,preliminary binary-stratified,50000,datasets_50k/quo_vadis/results/ours_metrics.json,0.9621333333333333,0.9706681151548072,0.9530666666666666,0.9617868675995694,0.99465856,diagnostic,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
Quo Vadis,rgcn,17,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/graph_baselines/rgcn/seed_17/metrics.json,0.8984924623115578,0.8558139534883721,0.7244094488188977,0.7846481876332623,0.9330283613333759,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,rgcn,27,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/graph_baselines/rgcn/seed_27/metrics.json,0.9005025125628141,0.863849765258216,0.7244094488188977,0.7880085653104925,0.9430754354086306,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,rgcn,7,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/graph_baselines/rgcn/seed_7/metrics.json,0.8984924623115578,0.8227848101265823,0.7677165354330708,0.7942973523421588,0.9425069335968631,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,transformer,17,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/transformer/seed_17/metrics.json,0.8753768844221106,0.7642276422764228,0.7401574803149606,0.752,0.9123896203257993,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,transformer,27,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/transformer/seed_27/metrics.json,0.8743718592964824,0.8,0.6771653543307087,0.7334754797441365,0.9078628582358379,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,transformer,7,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/standard_baselines/transformer/seed_7/metrics.json,0.878391959798995,0.844559585492228,0.6417322834645669,0.7293064876957495,0.8897186181686804,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Quo Vadis,wo_graph_view,17,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_graph_view/seed_17/metrics.json,0.8201005025125628,0.6383763837638377,0.6811023622047244,0.659047619047619,0.8250608350069601,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_graph_view,27,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_graph_view/seed_27/metrics.json,0.8130653266331658,0.6197183098591549,0.6929133858267716,0.654275092936803,0.8520354490101693,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_graph_view,7,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_graph_view/seed_7/metrics.json,0.8391959798994975,0.6766917293233082,0.7086614173228346,0.6923076923076923,0.8596756883122404,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_interleaving_prior_in_gating,17,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_interleaving_prior_in_gating/seed_17/metrics.json,0.8582914572864322,0.748898678414097,0.6692913385826772,0.7068607068607069,0.8625553890783895,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_interleaving_prior_in_gating,27,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_interleaving_prior_in_gating/seed_27/metrics.json,0.8542713567839196,0.7280334728033473,0.6850393700787402,0.7058823529411765,0.8702328200877725,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_interleaving_prior_in_gating,7,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_interleaving_prior_in_gating/seed_7/metrics.json,0.8492462311557789,0.7096774193548387,0.6929133858267716,0.701195219123506,0.871051037648634,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_preference_loss,7,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_preference_loss/seed_7/metrics.json,0.8331658291457287,0.6654135338345865,0.6968503937007874,0.6807692307692308,0.8415314482450826,pending,incomplete three-seed ablation; available artifact retained but not aggregated into confirmatory table
Quo Vadis,wo_relation_features,17,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_relation_features/seed_17/metrics.json,0.857286432160804,0.7947368421052632,0.594488188976378,0.6801801801801802,0.8755193556271053,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_relation_features,27,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_relation_features/seed_27/metrics.json,0.8582914572864322,0.7424892703862661,0.6811023622047244,0.7104722792607803,0.8791853953478488,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_relation_features,7,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_relation_features/seed_7/metrics.json,0.8592964824120602,0.7394957983193278,0.6929133858267716,0.7154471544715447,0.8658176331197466,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_semantic_elements,17,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_semantic_elements/seed_17/metrics.json,0.8442211055276382,0.6896551724137931,0.7086614173228346,0.6990291262135923,0.8893334183429502,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_semantic_elements,27,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_semantic_elements/seed_27/metrics.json,0.8020100502512563,0.5910543130990416,0.7283464566929134,0.6525573192239859,0.8404369494299043,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_semantic_elements,7,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_semantic_elements/seed_7/metrics.json,0.8331658291457287,0.6549295774647887,0.7322834645669292,0.6914498141263941,0.8824210738839833,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_sequence_view,17,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_sequence_view/seed_17/metrics.json,0.8442211055276382,0.688212927756654,0.7125984251968503,0.7001934235976789,0.8679216211333908,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_sequence_view,27,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_sequence_view/seed_27/metrics.json,0.8402010050251256,0.6892430278884463,0.6811023622047244,0.6851485148514852,0.8586715122148193,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_sequence_view,7,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_sequence_view/seed_7/metrics.json,0.8452261306532663,0.7083333333333334,0.6692913385826772,0.6882591093117408,0.8500377230174163,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_structural_bias_in_attention,17,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_structural_bias_in_attention/seed_17/metrics.json,0.857286432160804,0.7616822429906542,0.6417322834645669,0.6965811965811965,0.8642449552105582,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_structural_bias_in_attention,27,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_structural_bias_in_attention/seed_27/metrics.json,0.8613065326633166,0.7788461538461539,0.6377952755905512,0.7012987012987013,0.8679481866386135,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis,wo_structural_bias_in_attention,7,leakage-safe group/exact-sequence-disjoint,6636,datasets_50k/quo_vadis/results/ablation/wo_structural_bias_in_attention/seed_7/metrics.json,0.8462311557788945,0.6934865900383141,0.7125984251968503,0.7029126213592233,0.8451337307532915,usable,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
Quo Vadis / Zenodo 11079764,RQ2 held-out category/family runs,7/17/27,confirmatory required,"","",,,,,,pending,fold protocols exist but trained fold results are absent
Quo Vadis / Zenodo 11079764,final repeated profiling,7/17/27,confirmatory required,"","",,,,,,pending,only single-seed repair profiling is available
Quo Vadis / Zenodo 11079764,final three-seed view-weight audit,7/17/27,confirmatory required,"","",,,,,,pending,only Quo Vadis P3a seed-7 diagnostic is available
Quo Vadis / Zenodo 11079764,two-annotator extraction quality,"",confirmatory required,"","",,,,,,pending,annotation evidence absent
Zenodo 11079764,EsCapturer-full repaired,7/17/27,confirmatory required,38882,"",,,,,,pending,no repaired leakage-safe three-seed artifact found
Zenodo 11079764,api2vecpp,7,preliminary binary-stratified,50000,datasets_50k/zenodo_11079764/results/api2vecpp_metrics.json,0.9052,0.890717408074055,0.9237333333333333,0.906924990181961,0.9610532266666667,diagnostic,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
Zenodo 11079764,api2vecpp,7/17/27,leakage-safe required,38882,"",,,,,,pending,no complete leakage-safe three-seed artifact found
Zenodo 11079764,api_frequency_lr,17,leakage-safe group/exact-sequence-disjoint,38882,datasets_50k/zenodo_11079764/results/standard_baselines/api_frequency_lr/seed_17/metrics.json,0.7659465020576132,0.6718275652701883,0.8862635162194633,0.7642894146088759,0.8647686969490825,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Zenodo 11079764,api_frequency_lr,27,leakage-safe group/exact-sequence-disjoint,38882,datasets_50k/zenodo_11079764/results/standard_baselines/api_frequency_lr/seed_27/metrics.json,0.7659465020576132,0.6718275652701883,0.8862635162194633,0.7642894146088759,0.8647686969490825,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Zenodo 11079764,api_frequency_lr,7,leakage-safe group/exact-sequence-disjoint,38882,datasets_50k/zenodo_11079764/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,0.7659465020576132,0.6718275652701883,0.8862635162194633,0.7642894146088759,0.8647686969490825,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Zenodo 11079764,api_frequency_rf,17,leakage-safe group/exact-sequence-disjoint,38882,datasets_50k/zenodo_11079764/results/standard_baselines/api_frequency_rf/seed_17/metrics.json,0.936556927297668,0.9117305458768873,0.9431317581097317,0.9271653543307087,0.9821417485090055,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Zenodo 11079764,api_frequency_rf,27,leakage-safe group/exact-sequence-disjoint,38882,datasets_50k/zenodo_11079764/results/standard_baselines/api_frequency_rf/seed_27/metrics.json,0.9346707818930041,0.904743687834736,0.947136563876652,0.9254549011935042,0.9821908028764952,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Zenodo 11079764,api_frequency_rf,7,leakage-safe group/exact-sequence-disjoint,38882,datasets_50k/zenodo_11079764/results/standard_baselines/api_frequency_rf/seed_7/metrics.json,0.9329561042524005,0.8967596081386586,0.9531437725270324,0.9240924092409241,0.9822462217029251,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Zenodo 11079764,api_frequency_xgboost,7/17/27,leakage-safe required,38882,"",,,,,,pending,xgboost installed but missing libomp runtime on this machine
Zenodo 11079764,api_ngram_lr,17,leakage-safe group/exact-sequence-disjoint,38882,datasets_50k/zenodo_11079764/results/standard_baselines/api_ngram_lr/seed_17/metrics.json,0.9221536351165981,0.8784735087069285,0.9495394473368042,0.9126250962278676,0.9720528202058362,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Zenodo 11079764,api_ngram_lr,27,leakage-safe group/exact-sequence-disjoint,38882,datasets_50k/zenodo_11079764/results/standard_baselines/api_ngram_lr/seed_27/metrics.json,0.9221536351165981,0.8784735087069285,0.9495394473368042,0.9126250962278676,0.9720528202058362,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Zenodo 11079764,api_ngram_lr,7,leakage-safe group/exact-sequence-disjoint,38882,datasets_50k/zenodo_11079764/results/standard_baselines/api_ngram_lr/seed_7/metrics.json,0.9221536351165981,0.8784735087069285,0.9495394473368042,0.9126250962278676,0.9720528202058362,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Zenodo 11079764,api_ngram_svm,17,leakage-safe group/exact-sequence-disjoint,38882,datasets_50k/zenodo_11079764/results/standard_baselines/api_ngram_svm/seed_17/metrics.json,0.9368998628257887,0.908637236084453,0.947937525030036,0.9278714229713838,0.9786763006162116,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Zenodo 11079764,api_ngram_svm,27,leakage-safe group/exact-sequence-disjoint,38882,datasets_50k/zenodo_11079764/results/standard_baselines/api_ngram_svm/seed_27/metrics.json,0.9368998628257887,0.908637236084453,0.947937525030036,0.9278714229713838,0.9786764207003424,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Zenodo 11079764,api_ngram_svm,7,leakage-safe group/exact-sequence-disjoint,38882,datasets_50k/zenodo_11079764/results/standard_baselines/api_ngram_svm/seed_7/metrics.json,0.9368998628257887,0.908637236084453,0.947937525030036,0.9278714229713838,0.9786764207003424,usable,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
Zenodo 11079764,api_ngram_xgboost,7/17/27,leakage-safe required,38882,"",,,,,,pending,xgboost installed but missing libomp runtime on this machine
